matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,4os,3064,0.0019,0.0010,0.0048,0.0078,0.9915,1024,0.0010,0.0010,0.0010,0.0010,0.0193,1024,0.0010,0.0000,0.0000,0.0000,0.9915,255,0.0039,0.0039,0.0068,0.0078,0.0096,255,0.0039,0.0001,0.0001,0.0002,0.5059,254,0.0037,0.0039,0.0078,0.0087,0.0097,252,0.0038,0.0001,0.0523,0.0630,0.0756
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_100MB.cm,8os,2815,0.0021,0.0010,0.0058,0.0107,0.9933,1024,0.0010,0.0010,0.0010,0.0010,0.0192,1024,0.0010,0.0000,0.0000,0.0000,0.9933,256,0.0039,0.0039,0.0068,0.0068,0.0096,255,0.0039,0.0001,0.0001,0.0002,0.5030,128,0.0074,0.0068,0.0126,0.0146,0.0146,128,0.0074,0.0001,0.1049,0.1253,0.1272
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,1os,4730,0.0013,0.0005,0.0019,0.0136,0.9941,1024,0.0010,0.0010,0.0010,0.0010,0.0190,1024,0.0010,0.0000,0.0000,0.0000,0.9941,659,0.0015,0.0010,0.0029,0.0039,0.0049,682,0.0015,0.0000,0.0001,0.1069,0.1341,671,0.0014,0.0010,0.0029,0.0039,0.0049,670,0.0014,0.0000,0.0136,0.0204,0.0233
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,4os,3064,0.0019,0.0010,0.0048,0.0078,0.9922,1024,0.0010,0.0010,0.0010,0.0010,0.0193,1024,0.0010,0.0000,0.0000,0.0000,0.9922,255,0.0039,0.0039,0.0068,0.0078,0.0096,255,0.0039,0.0001,0.0001,0.0002,0.5063,254,0.0037,0.0039,0.0078,0.0087,0.0097,252,0.0038,0.0001,0.0524,0.0630,0.0757
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_16MB.cm,8os,2815,0.0021,0.0010,0.0058,0.0107,0.9941,1024,0.0010,0.0010,0.0010,0.0010,0.0193,1024,0.0010,0.0000,0.0000,0.0000,0.9941,256,0.0039,0.0039,0.0068,0.0068,0.0096,255,0.0039,0.0001,0.0001,0.0002,0.5034,128,0.0074,0.0068,0.0126,0.0146,0.0146,128,0.0074,0.0001,0.1050,0.1254,0.1273
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1os,4730,0.0013,0.0005,0.0019,0.0136,0.9943,1024,0.0010,0.0010,0.0010,0.0010,0.0190,1024,0.0010,0.0000,0.0000,0.0000,0.9943,659,0.0015,0.0010,0.0029,0.0039,0.0049,682,0.0015,0.0000,0.0001,0.1069,0.1341,671,0.0014,0.0010,0.0029,0.0039,0.0049,670,0.0014,0.0000,0.0136,0.0204,0.0233
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,4os,3064,0.0019,0.0010,0.0048,0.0078,0.9912,1024,0.0010,0.0010,0.0010,0.0010,0.0193,1024,0.0010,0.0000,0.0000,0.0000,0.9912,255,0.0039,0.0039,0.0068,0.0078,0.0096,255,0.0039,0.0001,0.0001,0.0002,0.5058,254,0.0037,0.0039,0.0078,0.0087,0.0097,252,0.0038,0.0001,0.0523,0.0630,0.0756
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,8os,2815,0.0021,0.0010,0.0058,0.0107,0.9933,1024,0.0010,0.0010,0.0010,0.0010,0.0192,1024,0.0010,0.0000,0.0000,0.0000,0.9933,256,0.0039,0.0039,0.0068,0.0068,0.0096,255,0.0039,0.0001,0.0001,0.0002,0.5030,128,0.0074,0.0068,0.0126,0.0146,0.0146,128,0.0074,0.0001,0.1049,0.1253,0.1272
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,1os,614,0.0084,0.0070,0.0210,0.0771,0.8900,128,0.0071,0.0070,0.0070,0.0070,0.0173,128,0.0071,0.0001,0.0001,0.0001,0.8900,92,0.0096,0.0070,0.0140,0.0280,0.0280,91,0.0097,0.0001,0.0004,0.2733,0.2733,88,0.0091,0.0070,0.0210,0.0210,0.0210,87,0.0092,0.0001,0.0631,0.0841,0.0841
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,4os,502,0.0103,0.0070,0.0280,0.1959,0.8884,128,0.0071,0.0070,0.0070,0.0070,0.0174,128,0.0071,0.0001,0.0001,0.0001,0.8884,91,0.0097,0.0070,0.0140,0.0210,0.0210,91,0.0097,0.0001,0.0004,0.2448,0.2448,32,0.0250,0.0280,0.0420,0.0490,0.0490,32,0.0250,0.0006,0.1889,0.2308,0.2308
