matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1024,1023,1os,ok,617,1023,2675930.0,329682.0,2144510.0,2674700.0,2675930.0,65.472,0,0,0,0,0,0,0,0,0,2871314,4332650000.0,113792,838.0703,1044.8086,1045.2852,0.7266
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1024,1023,4os,ok,2658,1023,2684300.0,413967.0,2323350.0,2682250.0,2684300.0,65.472,0,0,0,0,0,0,0,0,0,2758107,2860160000.0,113792,907.7500,1047.8789,1048.5547,0.8894
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_1024n_64MB.cm,1024,1023,8os,ok,2719,1023,2678610.0,605307.0,2308450.0,2677440.0,2678610.0,65.472,0,0,0,0,0,0,0,0,0,2840889,2768690000.0,113792,902.0039,1045.8906,1046.3320,0.9063
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,128,127,1os,ok,116,127,579901.0,476411.0,546830.0,579423.0,579901.0,12.700,0,0,0,0,0,0,0,0,0,357005,24808600.0,113792,136.7840,144.9607,144.9752,0.9979
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,128,127,4os,ok,258,127,580984.0,500183.0,554957.0,580586.0,580984.0,12.700,0,0,0,0,0,0,0,0,0,428770,27228200.0,113792,138.8990,145.1640,145.2460,0.9992
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_100MB.cm,128,127,8os,ok,314,127,603029.0,495085.0,581609.0,602891.0,603029.0,12.700,0,0,0,0,0,0,0,0,0,354891,18026500.0,113792,145.4390,150.7510,150.7572,0.9977
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,128,127,1os,ok,11,127,95178.1,66125.2,89000.7,95000.3,95178.1,2.032,0,0,0,0,0,0,0,0,0,54416,3598520.0,113792,139.1180,148.4862,148.7158,0.9947
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,128,127,4os,ok,11,127,94646.7,72519.2,89630.6,94339.8,94646.7,2.032,0,0,0,0,0,0,0,0,0,66970,4125930.0,113792,140.1252,147.7416,147.8855,0.9975
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_16MB.cm,128,127,8os,ok,11,127,98207.4,75995.2,92975.7,98133.5,98207.4,2.032,0,0,0,0,0,0,0,0,0,54735,2699610.0,113792,145.3236,153.4009,153.4491,0.9962
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,128,127,1os,ok,60,127,372423.0,305832.0,349964.0,372288.0,372423.0,8.128,0,0,0,0,0,0,0,0,0,227138,15770200.0,113792,136.7941,145.4316,145.4777,0.9978
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,128,127,4os,ok,110,127,373000.0,319306.0,357371.0,372937.0,373000.0,8.128,0,0,0,0,0,0,0,0,0,273631,17272900.0,113792,139.6367,145.6937,145.7031,0.9991
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_random_128n_64MB.cm,128,127,8os,ok,127,127,386638.0,313198.0,371752.0,386390.0,386638.0,8.128,0,0,0,0,0,0,0,0,0,228148,11603100.0,113792,145.5613,150.9371,151.0305,0.9977
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_100MB.cm,1024,512,1os,ok,133,512,2107340.0,524766.0,1767460.0,2106170.0,2107340.0,51.200,0,0,0,0,0,0,0,0,0,2289895,1786430000.0,113792,442.6725,526.6025,526.8350,0.9034
