matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max,sweep,workload,size_MB,os_ratio
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,1os,768,0.5271,0.5481,0.5517,0.5542,0.5557,128,0.5490,0.5491,0.5494,0.5496,0.5496,128,0.5482,0.5482,0.5483,0.5484,0.5484,128,0.5445,0.5489,0.5530,0.5545,0.5549,128,0.5441,0.5486,0.5526,0.5553,0.5557,128,0.4885,0.4813,0.5491,0.5530,0.5533,128,0.4885,0.4824,0.5498,0.5537,0.5543,allreduce_ring_128_1024,allreduce_ring,100,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,4os,576,0.2862,0.2235,0.7847,0.8950,0.9000,128,0.2244,0.2247,0.2261,0.2263,0.2263,128,0.2223,0.2223,0.2229,0.2229,0.2229,128,0.2227,0.2245,0.2268,0.2276,0.2277,128,0.2205,0.2221,0.2244,0.2258,0.2260,32,0.7984,0.7852,0.8988,0.9000,0.9000,32,0.7940,0.7799,0.8950,0.8951,0.8951,allreduce_ring_128_1024,allreduce_ring,100,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,8os,352,0.2321,0.1111,0.7758,0.8856,0.8889,128,0.1111,0.1112,0.1117,0.1117,0.1118,128,0.1102,0.1102,0.1103,0.1104,0.1104,32,0.4410,0.4444,0.4461,0.4464,0.4464,32,0.4376,0.4410,0.4413,0.4413,0.4413,16,0.7905,0.7769,0.8889,0.8889,0.8889,16,0.7872,0.7731,0.8860,0.8860,0.8860,allreduce_ring_128_1024,allreduce_ring,100,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,1os,768,0.5503,0.5722,0.5762,0.5788,0.5804,128,0.5730,0.5730,0.5734,0.5735,0.5735,128,0.5723,0.5723,0.5725,0.5725,0.5725,128,0.5683,0.5726,0.5772,0.5794,0.5804,128,0.5680,0.5722,0.5779,0.5793,0.5800,128,0.5100,0.5026,0.5732,0.5771,0.5778,128,0.5100,0.5037,0.5747,0.5779,0.5784,allreduce_ring_128_1024,allreduce_ring,16,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,4os,576,0.2718,0.2122,0.7455,0.8498,0.8551,128,0.2134,0.2136,0.2153,0.2157,0.2158,128,0.2107,0.2108,0.2112,0.2113,0.2114,128,0.2118,0.2134,0.2159,0.2166,0.2166,128,0.2091,0.2106,0.2129,0.2142,0.2152,32,0.7587,0.7456,0.8545,0.8551,0.8551,32,0.7533,0.7402,0.8498,0.8499,0.8499,allreduce_ring_128_1024,allreduce_ring,16,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,8os,352,0.2364,0.1137,0.7905,0.9000,0.9067,128,0.1137,0.1138,0.1144,0.1146,0.1147,128,0.1119,0.1119,0.1120,0.1120,0.1120,32,0.4506,0.4541,0.4568,0.4574,0.4574,32,0.4443,0.4478,0.4480,0.4481,0.4481,16,0.8059,0.7922,0.9067,0.9067,0.9067,16,0.8006,0.7868,0.9022,0.9022,0.9022,allreduce_ring_128_1024,allreduce_ring,16,8
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,1os,768,0.5285,0.5495,0.5530,0.5556,0.5571,128,0.5504,0.5505,0.5508,0.5509,0.5509,128,0.5496,0.5496,0.5497,0.5498,0.5498,128,0.5459,0.5502,0.5552,0.5566,0.5568,128,0.5455,0.5499,0.5544,0.5569,0.5571,128,0.4898,0.4828,0.5517,0.5542,0.5554,128,0.4898,0.4834,0.5507,0.5542,0.5547,allreduce_ring_128_1024,allreduce_ring,64,1
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,4os,576,0.2824,0.2206,0.7742,0.8830,0.8881,128,0.2215,0.2217,0.2230,0.2233,0.2236,128,0.2192,0.2193,0.2198,0.2198,0.2199,128,0.2198,0.2217,0.2237,0.2246,0.2250,128,0.2175,0.2191,0.2217,0.2233,0.2236,32,0.7878,0.7747,0.8872,0.8881,0.8881,32,0.7833,0.7699,0.8830,0.8841,0.8841,allreduce_ring_128_1024,allreduce_ring,64,4
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,8os,352,0.2267,0.1086,0.7579,0.8647,0.8683,128,0.1086,0.1087,0.1091,0.1092,0.1093,128,0.1076,0.1076,0.1077,0.1077,0.1077,32,0.4309,0.4342,0.4358,0.4361,0.4361,32,0.4272,0.4305,0.4307,0.4308,0.4308,16,0.7720,0.7584,0.8683,0.8683,0.8683,16,0.7686,0.7548,0.8648,0.8648,0.8648,allreduce_ring_128_1024,allreduce_ring,64,8
