matrix,nodes,conns,fabric,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,sweep,workload,size_MB,os_ratio,makespan_ms,rtx_corr,nacks_corr,nack_pct
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,128,32640,1os,ok,14753,32640,1901090.0,4090.9,734642.0,1801020.0,1901090.0,3264.025,798831360,1230035,0,0,305147784,1230035,0,0,0,allreduce_ring_128_1024,allreduce_ring,100,1,1901.1,1230035,1230035,0.154
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,128,32640,4os,ok,15701,32640,4710140.0,4083.4,2251710.0,4525970.0,4710140.0,3264.025,798831360,8074315,16,0,527061785,8074102,0,0,208,allreduce_ring_128_1024,allreduce_ring,100,4,4710.1,8074315,8074102,1.001
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_100MB.cm,128,32640,8os,ok,15089,32640,9526320.0,4093.2,4494620.0,9296620.0,9526320.0,3264.025,798831360,6703644,42,0,696259399,6703194,0,0,440,allreduce_ring_128_1024,allreduce_ring,100,8,9526.3,6703644,6703194,0.832
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,128,32640,1os,ok,2220,32640,291162.0,658.0,123364.0,277439.0,291162.0,522.265,127818240,150221,0,0,43709263,150221,0,0,0,allreduce_ring_128_1024,allreduce_ring,16,1,291.2,150221,150221,0.117
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,128,32640,4os,ok,2472,32640,794580.0,657.4,387587.0,770830.0,794580.0,522.265,127818240,1672062,1,0,79900093,1672009,0,0,49,allreduce_ring_128_1024,allreduce_ring,16,4,794.6,1672062,1672009,1.291
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_16MB.cm,128,32640,8os,ok,2387,32640,1502250.0,658.9,731990.0,1461910.0,1502250.0,522.265,127818240,2168768,10,0,109984627,2168677,0,0,88,allreduce_ring_128_1024,allreduce_ring,16,8,1502.2,2168768,2168677,1.668
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,128,32640,1os,ok,9261,32640,1213390.0,2619.6,464856.0,1154290.0,1213390.0,2089.061,511272960,769154,0,0,190873999,769154,0,0,0,allreduce_ring_128_1024,allreduce_ring,64,1,1213.4,769154,769154,0.150
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,128,32640,4os,ok,9921,32640,3055900.0,2615.1,1453570.0,2921190.0,3055900.0,2089.061,511272960,5437551,9,0,335133298,5437394,0,0,151,allreduce_ring_128_1024,allreduce_ring,64,4,3055.9,5437551,5437394,1.052
/csl/mahmoud.za/HTSIM/htsim/sim/datacenter/experiments/runs/allreduce_ring_128_1024/matrices/allreduce_ring_128n_64MB.cm,128,32640,8os,ok,9686,32640,6245910.0,2621.4,3012930.0,6056680.0,6245910.0,2089.061,511272960,4894876,34,0,442614343,4894569,0,0,303,allreduce_ring_128_1024,allreduce_ring,64,8,6245.9,4894876,4894569,0.948
