matrix,workload,size_MB,nodes,conns,stack,topology,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain,overflow
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_64MB.cm,alltoall_moe_rail_aware,64,1024,137216,ib,flat,ok,228,137216,23706.5,19.5,14127.7,22595.2,23706.5,122.368,0,0,0,0,0,0,0,0,0,993317,13736500.0,154432,706.4000,1129.7700,1185.3250,0.0220,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_64MB.cm,alltoall_moe_rail_aware,64,1024,137216,ib,rail,ok,209,137216,19864.6,19.5,11392.4,18615.5,19864.6,122.368,0,0,0,0,0,0,0,0,0,896004,9729380.0,154432,569.6200,930.8200,993.2300,0.0222,11842
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_100MB.cm,alltoall_moe_rail_aware,100,2048,536576,ib,flat,incomplete,1575,379258,40786.2,29.8,32066.1,40613.4,40786.2,383.199,0,0,0,0,0,0,0,0,0,0,0,0,2045.0319,2590.1403,2601.1607,0.0131,84054
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_100MB.cm,alltoall_moe_rail_aware,100,2048,536576,ib,rail,incomplete,841,412884,30766.8,29.8,22463.4,30586.0,30766.8,383.199,0,0,0,0,0,0,0,0,0,0,0,0,1432.6212,1950.6378,1962.1684,0.0121,36089
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_16MB.cm,alltoall_moe_rail_aware,16,2048,536576,ib,flat,ok,145,536576,8443.0,6.1,5706.3,8106.8,8443.0,61.308,0,0,0,0,0,0,0,0,0,311413,5633000.0,157056,2229.0156,3166.7422,3298.0664,0.0133,2116
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_16MB.cm,alltoall_moe_rail_aware,16,2048,536576,ib,rail,ok,139,536576,7012.8,6.1,4203.8,6514.0,7012.8,61.308,0,0,0,0,0,0,0,0,0,319079,3083130.0,157056,1642.1133,2544.5195,2739.3789,0.0135,3020
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_64MB.cm,alltoall_moe_rail_aware,64,2048,536576,ib,flat,ok,564,536576,35770.8,19.5,25042.2,34517.3,35770.8,245.248,0,0,0,0,0,0,0,0,0,1906738,47808100.0,154432,2484.3452,3424.3552,3548.6905,0.0111,83146
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_64MB.cm,alltoall_moe_rail_aware,64,2048,536576,ib,rail,ok,531,536576,27925.1,19.5,17297.0,26277.6,27925.1,245.248,0,0,0,0,0,0,0,0,0,1889201,33864400.0,154432,1715.9821,2606.9444,2770.3472,0.0112,22385
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_100MB.cm,allreduce_rail_aware,100,1024,28672,uet,flat,ok,245,28672,1719.9,28.7,799.3,1592.5,1719.9,204.600,50089984,28381,0,0,13361946,28381,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_allreduce_1024gpu_100MB.cm,allreduce_rail_aware,100,1024,28672,uet,rail,ok,240,28672,1882.4,28.7,778.7,1619.3,1882.4,204.600,50089984,25069,0,0,13186298,25069,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
